Exame: NOME_DO_EXAME

CT: CARAMBA - Ribeirão Preto - RR
Data: 03/03/2021 - Hora: 13:00 - Vagas: 2
Data: 04/03/2021 - Hora: 13:00 - Vagas: 4
Data: 05/03/2021 - Hora: 13:00 - Vagas: 1
Data: 08/03/2021 - Hora: 13:00 - Vagas: 1
Data: 09/03/2021 - Hora: 13:00 - Vagas: 3
Data: 10/03/2021 - Hora: 09:00 - Vagas: 4
Data: 10/03/2021 - Hora: 13:00 - Vagas: 4
Data: 11/03/2021 - Hora: 09:00 - Vagas: 3
Data: 11/03/2021 - Hora: 13:00 - Vagas: 4
Data: 12/03/2021 - Hora: 13:00 - Vagas: 2
Data: 15/03/2021 - Hora: 09:00 - Vagas: 2
Data: 15/03/2021 - Hora: 13:00 - Vagas: 3
Data: 16/03/2021 - Hora: 09:00 - Vagas: 3
Data: 16/03/2021 - Hora: 13:00 - Vagas: 4
Data: 17/03/2021 - Hora: 09:00 - Vagas: 3
Data: 17/03/2021 - Hora: 13:00 - Vagas: 4
Data: 18/03/2021 - Hora: 09:00 - Vagas: 1
Data: 18/03/2021 - Hora: 13:00 - Vagas: 4
Data: 22/03/2021 - Hora: 09:00 - Vagas: 1
Data: 22/03/2021 - Hora: 13:00 - Vagas: 4
Data: 23/03/2021 - Hora: 09:00 - Vagas: 3
Data: 23/03/2021 - Hora: 13:00 - Vagas: 4
Data: 24/03/2021 - Hora: 09:00 - Vagas: 3
Data: 24/03/2021 - Hora: 13:00 - Vagas: 4
Data: 25/03/2021 - Hora: 09:00 - Vagas: 4
Data: 25/03/2021 - Hora: 13:00 - Vagas: 4
Data: 26/03/2021 - Hora: 09:00 - Vagas: 1
Data: 26/03/2021 - Hora: 13:00 - Vagas: 3
Data: 29/03/2021 - Hora: 09:00 - Vagas: 2
Data: 29/03/2021 - Hora: 13:00 - Vagas: 4
Data: 30/03/2021 - Hora: 09:00 - Vagas: 4
Data: 30/03/2021 - Hora: 13:00 - Vagas: 4
Data: 31/03/2021 - Hora: 09:00 - Vagas: 3
Data: 31/03/2021 - Hora: 13:00 - Vagas: 4
Data: 05/04/2021 - Hora: 09:00 - Vagas: 2
Data: 05/04/2021 - Hora: 13:00 - Vagas: 4
Data: 06/04/2021 - Hora: 09:00 - Vagas: 4
Data: 06/04/2021 - Hora: 13:00 - Vagas: 4
Data: 07/04/2021 - Hora: 09:00 - Vagas: 4
Data: 07/04/2021 - Hora: 13:00 - Vagas: 4
Data: 08/04/2021 - Hora: 09:00 - Vagas: 4
Data: 08/04/2021 - Hora: 13:00 - Vagas: 4
Data: 09/04/2021 - Hora: 09:00 - Vagas: 4
Data: 09/04/2021 - Hora: 13:00 - Vagas: 4

CT: lindo - Ribeirão Preto - SP
Data: 01/03/2021 - Hora: 13:00 - Vagas: 5
Data: 03/03/2021 - Hora: 09:00 - Vagas: 4
Data: 04/03/2021 - Hora: 09:00 - Vagas: 5
Data: 08/03/2021 - Hora: 13:00 - Vagas: 5
Data: 10/03/2021 - Hora: 09:00 - Vagas: 5
Data: 11/03/2021 - Hora: 09:00 - Vagas: 5
Data: 15/03/2021 - Hora: 13:00 - Vagas: 2
Data: 17/03/2021 - Hora: 09:00 - Vagas: 5
Data: 18/03/2021 - Hora: 09:00 - Vagas: 5
Data: 22/03/2021 - Hora: 13:00 - Vagas: 5
Data: 24/03/2021 - Hora: 09:00 - Vagas: 4
Data: 25/03/2021 - Hora: 09:00 - Vagas: 5
Data: 29/03/2021 - Hora: 13:00 - Vagas: 5
Data: 31/03/2021 - Hora: 09:00 - Vagas: 5
Data: 05/04/2021 - Hora: 13:00 - Vagas: 5
Data: 07/04/2021 - Hora: 09:00 - Vagas: 5
Data: 08/04/2021 - Hora: 09:00 - Vagas: 5

CT: EU TE AMO - Pouso Alegre - MG
Data: 03/03/2021 - Hora: 14:00 - Vagas: 1
Data: 08/03/2021 - Hora: 15:00 - Vagas: 1
Data: 10/03/2021 - Hora: 14:00 - Vagas: 2
Data: 15/03/2021 - Hora: 15:00 - Vagas: 3
Data: 17/03/2021 - Hora: 14:00 - Vagas: 3
Data: 22/03/2021 - Hora: 09:00 - Vagas: 1
Data: 22/03/2021 - Hora: 15:00 - Vagas: 2
Data: 24/03/2021 - Hora: 14:00 - Vagas: 3
Data: 26/03/2021 - Hora: 09:00 - Vagas: 3
Data: 29/03/2021 - Hora: 15:00 - Vagas: 3
Data: 31/03/2021 - Hora: 14:00 - Vagas: 3
Data: 05/04/2021 - Hora: 09:00 - Vagas: 2
Data: 05/04/2021 - Hora: 15:00 - Vagas: 2
Data: 07/04/2021 - Hora: 14:00 - Vagas: 1
Data: 09/04/2021 - Hora: 09:00 - Vagas: 2
